id n_ind mle species temp hour mle_bias
CCF_Stool_Chin_1030 1 2 CCF 18.5 24 1
CCF_Stool_Chin_1149 3 3 CCF 15.5 48 0
LMB_Stool_Chin_906 3 2 LMB 15.5 6 -1
CCF_Stool_Chin_1036 1 2 CCF 18.5 6 1
CCF_Stool_Chin_987 1 1 CCF 18.5 12 0
CCF_Stool_Chin_1172 3 6 CCF 15.5 6 3
CCF_Stool_Chin_1038 1 2 CCF 18.5 6 1
CCF_Stool_Chin_1023 1 2 CCF 15.5 36 1
CCF_Stool_Chin_1148 3 4 CCF 15.5 48 1
CCF_Stool_Chin_1040 1 3 CCF 18.5 6 2
CCF_Stool_Chin_1151 3 3 CCF 18.5 48 0
CCF_Stool_Chin_1034 1 2 CCF 15.5 24 1
CCF_Stool_Chin_1041 1 2 CCF 15.5 6 1
CCF_Stool_Chin_1170 3 3 CCF 18.5 6 0
LMB_Stool_Chin_771 1 2 LMB 15.5 6 1
LMB_Stool_Chin_731 3 3 LMB 15.5 6 0
LMB_Stool_Chin_669 3 4 LMB 15.5 24 1
LMB_Stool_Chin_658 3 4 LMB 15.5 12 1
LMB_Stool_Chin_675 3 3 LMB 18.5 24 0
CCF_Stool_Chin_1063 1 2 CCF 15.5 6 1
CCF_Stool_Chin_984 1 2 CCF 18.5 12 1
CCF_Stool_Chin_1027 1 2 CCF 18.5 24 1
LMB_Stool_Chin_859 3 3 LMB 18.5 12 0
CCF_Stool_Chin_1159 3 4 CCF 18.5 72 1
CCF_Stool_Chin_1042 1 2 CCF 15.5 6 1
CCF_Stool_Chin_1043 1 2 CCF 15.5 6 1
CCF_Stool_Chin_1166 3 5 CCF 18.5 6 2
CCF_Stool_Chin_1167 3 7 CCF 18.5 6 4
CCF_Stool_Chin_1124 3 2 CCF 15.5 60 -1
CCF_Stool_Chin_1121 3 3 CCF 15.5 60 0
CCF_Stool_Chin_1115 3 3 CCF 15.5 12 0
CCF_Stool_Chin_1031 1 2 CCF 15.5 24 1
LMB_Stool_Chin_667 3 3 LMB 15.5 24 0
CCF_Stool_Chin_1168 3 2 CCF 18.5 6 -1
CCF_Stool_Chin_1131 3 2 CCF 15.5 36 -1
LMB_Stool_Chin_924 3 2 LMB 15.5 72 -1
LMB_Stool_Chin_668 3 3 LMB 15.5 24 0
LMB_Stool_Chin_780 1 1 LMB 15.5 12 0
CCF_Stool_Chin_1104 3 3 CCF 15.5 24 0
CCF_Stool_Chin_1174 3 4 CCF 15.5 6 1
CCF_Stool_Chin_1175 3 2 CCF 15.5 6 -1
LMB_Stool_Chin_674 3 4 LMB 18.5 24 1
LMB_Stool_Chin_865 3 2 LMB 15.5 12 -1
LMB_Stool_Chin_652 3 3 LMB 18.5 36 0
LMB_Stool_Chin_905 3 4 LMB 15.5 6 1
LMB_Stool_Chin_666 3 4 LMB 15.5 24 1
CCF_Stool_Chin_1108 3 2 CCF 18.5 12 -1
LMB_Stool_Chin_645 3 3 LMB 15.5 48 0
LMB_Stool_Chin_722 3 3 LMB 18.5 6 0
CCF_Stool_Chin_986 1 2 CCF 18.5 12 1
LMB_Stool_Chin_904 3 2 LMB 15.5 6 -1
CCF_Stool_Chin_992 1 2 CCF 15.5 12 1
LMB_Stool_Chin_660 3 3 LMB 18.5 12 0
LMB_Stool_Chin_860 3 3 LMB 18.5 12 0
CCF_Stool_Chin_1058 1 2 CCF 18.5 12 1
CCF_Stool_Chin_1109 3 3 CCF 18.5 12 0
CCF_Stool_Chin_1005 1 3 CCF 15.5 60 2
CCF_Stool_Chin_1165 3 6 CCF 15.5 72 3
LMB_Stool_Chin_729 3 3 LMB 15.5 6 0
CCF_Stool_Chin_1158 3 4 CCF 18.5 72 1
CCF_Stool_Chin_1171 3 2 CCF 15.5 6 -1
CCF_Stool_Chin_1162 3 4 CCF 15.5 72 1
LMB_Stool_Chin_928 3 2 LMB 18.5 84 -1
LMB_Stool_Chin_650 3 3 LMB 15.5 48 0
CCF_Stool_Chin_1022 1 2 CCF 15.5 36 1
CCF_Stool_Chin_1057 1 2 CCF 18.5 6 1
LMB_Stool_Chin_665 3 4 LMB 18.5 12 1
LMB_Stool_Chin_699 3 3 LMB 15.5 60 0
LMB_Stool_Chin_640 3 3 LMB 18.5 48 0
CCF_Stool_Chin_1153 3 2 CCF 18.5 48 -1
LMB_Stool_Chin_949 3 2 LMB 15.5 84 -1
LMB_Stool_Chin_649 3 3 LMB 15.5 48 0
LMB_Stool_Chin_661 3 4 LMB 18.5 12 1
LMB_Stool_Chin_653 3 4 LMB 18.5 36 1
CCF_Stool_Chin_1173 3 4 CCF 15.5 6 1
CCF_Stool_Chin_1130 3 3 CCF 18.5 36 0
CCF_Stool_Chin_1139 3 1 CCF 18.5 36 -2
LMB_Stool_Chin_701 3 3 LMB 15.5 60 0
CCF_Stool_Chin_1060 1 2 CCF 18.5 36 1
LMB_Stool_Chin_700 3 3 LMB 15.5 60 0
LMB_Stool_Chin_883 3 2 LMB 18.5 36 -1
LMB_Stool_Chin_889 3 3 LMB 18.5 48 0
LMB_Stool_Chin_895 3 3 LMB 15.5 48 0
CCF_Stool_Chin_1097 3 2 CCF 18.5 24 -1
LMB_Stool_Chin_676 3 4 LMB 18.5 36 1
LMB_Stool_Chin_678 3 2 LMB 15.5 36 -1
CCF_Stool_Chin_1169 3 2 CCF 18.5 6 -1
LMB_Stool_Chin_728 3 2 LMB 15.5 6 -1
CCF_Stool_Chin_1102 3 5 CCF 15.5 24 2
LMB_Stool_Chin_644 3 4 LMB 18.5 48 1
LMB_Stool_Chin_826 1 1 LMB 15.5 60 0
LMB_Stool_Chin_647 3 3 LMB 15.5 48 0
LMB_Stool_Chin_677 3 2 LMB 15.5 36 -1
LMB_Stool_Chin_720 3 3 LMB 15.5 84 0
LMB_Stool_Chin_725 3 2 LMB 18.5 6 -1
CCF_Stool_Chin_1161 3 2 CCF 15.5 72 -1
CCF_Stool_Chin_995 1 2 CCF 15.5 12 1
LMB_Stool_Chin_673 3 2 LMB 18.5 24 -1
LMB_Stool_Chin_726 3 2 LMB 18.5 6 -1
CCF_Stool_Chin_1133 3 2 CCF 15.5 36 -1
LMB_Stool_Chin_651 3 2 LMB 18.5 36 -1
LMB_Stool_Chin_695 3 2 LMB 18.5 60 -1
LMB_Stool_Chin_718 3 3 LMB 15.5 84 0
CCF_Stool_Chin_988 1 2 CCF 18.5 12 1
LMB_Stool_Chin_730 3 2 LMB 15.5 6 -1
LMB_Stool_Chin_681 3 2 LMB 15.5 36 -1
CCF_Stool_Chin_1111 3 3 CCF 15.5 12 0
LMB_Stool_Chin_825 1 2 LMB 15.5 60 1
CCF_Stool_Chin_1059 1 2 CCF 18.5 60 1
CCF_Stool_Chin_1062 1 2 CCF 15.5 36 1
LMB_Stool_Chin_723 3 2 LMB 18.5 6 -1
LMB_Stool_Chin_659 3 2 LMB 15.5 12 -1
LMB_Stool_Chin_713 3 2 LMB 18.5 84 -1
LMB_Stool_Chin_760 1 2 LMB 18.5 6 1
LMB_Stool_Chin_879 3 2 LMB 15.5 24 -1
LMB_Stool_Chin_742 3 2 LMB 18.5 48 -1
CCF_Stool_Chin_1044 1 2 CCF 15.5 6 1
LMB_Stool_Chin_646 3 2 LMB 15.5 48 -1
LMB_Stool_Chin_663 3 2 LMB 18.5 12 -1
LMB_Stool_Chin_710 3 2 LMB 15.5 72 -1
CCF_Stool_Chin_1112 3 2 CCF 15.5 12 -1
LMB_Stool_Chin_781 1 1 LMB 15.5 12 0
CCF_Stool_Chin_1114 3 2 CCF 15.5 12 -1
CCF_Stool_Chin_1012 1 2 CCF 15.5 48 1
CCF_Stool_Chin_1015 1 2 CCF 15.5 48 1
CCF_Stool_Chin_1147 3 2 CCF 15.5 48 -1
LMB_Stool_Chin_724 3 2 LMB 18.5 6 -1
LMB_Stool_Chin_765 1 1 LMB 18.5 6 0
LMB_Stool_Chin_737 3 1 LMB 15.5 96 -2
CCF_Stool_Chin_1002 1 2 CCF 15.5 60 1
CCF_Stool_Chin_1125 3 2 CCF 15.5 60 -1
LMB_Stool_Chin_657 3 2 LMB 15.5 12 -1
LMB_Stool_Chin_670 3 2 LMB 15.5 24 -1
LMB_Stool_Chin_698 3 2 LMB 15.5 60 -1
CCF_Stool_Chin_1006 1 2 CCF 18.5 48 1
CCF_Stool_Chin_1018 1 2 CCF 18.5 36 1
CCF_Stool_Chin_1164 3 2 CCF 15.5 72 -1
CCF_Stool_Chin_980 1 2 CCF 15.5 84 1
LMB_Stool_Chin_784 1 1 LMB 18.5 24 0
LMB_Stool_Chin_815 1 1 LMB 15.5 48 0
LMB_Stool_Chin_704 3 2 LMB 18.5 96 -1
LMB_Stool_Chin_918 3 2 LMB 18.5 72 -1
CCF_Stool_Chin_1021 1 1 CCF 15.5 36 0
CCF_Stool_Chin_1106 3 2 CCF 18.5 12 -1
CCF_Stool_Chin_1011 1 2 CCF 15.5 48 1
CCF_Stool_Chin_1065 1 1 CCF 15.5 12 0
CCF_Stool_Chin_1145_MISSING 3 1 CCF 15.5 NA -2
CCF_Stool_Chin_983 1 2 CCF 15.5 84 1
LMB_Stool_Chin_636 1 1 LMB 15.5 12 0
LMB_Stool_Chin_643 3 1 LMB 18.5 48 -2
LMB_Stool_Chin_796 1 1 LMB 18.5 36 0
LMB_Stool_Chin_898 3 2 LMB 18.5 6 -1
LMB_Stool_Chin_554 1 1 LMB 18.5 12 0
LMB_Stool_Chin_852 1 2 LMB 18.5 96 1
LMB_Stool_Chin_890 3 2 LMB 18.5 48 -1
LMB_Stool_Chin_927 3 1 LMB 18.5 84 -2
LMB_Stool_Chin_935 3 1 LMB 18.5 96 -2
LMB_Stool_Chin_950 3 2 LMB 15.5 84 -1
CCF_Stool_Chin_1048 1 2 CCF 15.5 72 1
CCF_Stool_Chin_1143 3 2 CCF 15.5 6 -1
LMB_Stool_Chin_733 3 2 LMB 18.5 96 -1
LMB_Stool_Chin_734 3 2 LMB 18.5 96 -1
LMB_Stool_Chin_768 1 1 LMB 15.5 6 0
LMB_Stool_Chin_803 1 2 LMB 15.5 36 1
LMB_Stool_Chin_840 1 1 LMB 18.5 84 0
LMB_Stool_Chin_844 1 1 LMB 15.5 84 0
LMB_Stool_Chin_903 3 2 LMB 15.5 6 -1
LMB_Stool_Chin_937 3 1 LMB 18.5 72 -2
LMB_Stool_Chin_945 3 1 LMB 18.5 120 -2
CCF_Stool_Chin_1003 1 2 CCF 15.5 60 1
CCF_Stool_Chin_1024 1 2 CCF 15.5 36 1
CCF_Stool_Chin_1026 1 2 CCF 18.5 24 1
CCF_Stool_Chin_1046 1 1 CCF 15.5 72 0
