Sample_ID,Sample_Plate,Sample_Well,species,temp,smolt,hour
LMB_Stool_Chin_526,LMBStomachs_01,A01,LMB,18.5,1,6
LMB_Stool_Chin_527,LMBStomachs_01,B01,LMB,18.5,1,6
LMB_Stool_Chin_528,LMBStomachs_01,C01,LMB,18.5,1,6
LMB_Stool_Chin_529,LMBStomachs_01,D01,LMB,18.5,1,6
LMB_Stool_Chin_530,LMBStomachs_01,E01,LMB,18.5,1,6
LMB_Stool_Chin_531,LMBStomachs_01,F01,LMB,15.5,1,6
LMB_Stool_Chin_532,LMBStomachs_01,G01,LMB,15.5,1,6
LMB_Stool_Chin_533,LMBStomachs_01,H01,LMB,15.5,1,6
LMB_Stool_Chin_534,LMBStomachs_01,A02,LMB,15.5,1,6
LMB_Stool_Chin_535,LMBStomachs_01,B02,LMB,15.5,1,6
LMB_Stool_Chin_536,LMBStomachs_01,C02,LMB,18.5,1,24
LMB_Stool_Chin_537,LMBStomachs_01,D02,LMB,18.5,1,24
LMB_Stool_Chin_538,LMBStomachs_01,E02,LMB,18.5,1,24
LMB_Stool_Chin_539,LMBStomachs_01,F02,LMB,18.5,1,24
LMB_Stool_Chin_540,LMBStomachs_01,G02,LMB,18.5,1,24
LMB_Stool_Chin_541,LMBStomachs_01,H02,LMB,15.5,1,24
LMB_Stool_Chin_542,LMBStomachs_01,A03,LMB,15.5,1,24
LMB_Stool_Chin_543,LMBStomachs_01,B03,LMB,15.5,1,24
LMB_Stool_Chin_544,LMBStomachs_01,C03,LMB,15.5,1,24
LMB_Stool_Chin_551,LMBStomachs_01,D03,LMB,15.5,1,24
LMB_Stool_Chin_552,LMBStomachs_01,E03,LMB,18.5,1,12
LMB_Stool_Chin_553,LMBStomachs_01,F03,LMB,18.5,1,12
LMB_Stool_Chin_554,LMBStomachs_01,G03,LMB,18.5,1,12
LMB_Stool_Chin_555,LMBStomachs_01,H03,LMB,18.5,1,12
LMB_Stool_Chin_556,LMBStomachs_01,A04,LMB,18.5,1,12
LMB_Stool_Chin_557,LMBStomachs_01,B04,LMB,15.5,1,12
